Var1,Var2,Pearson_r,Pearson_p,Spearman_r,Spearman_p
Access_Plus,Bank_Barrier,-0.8972067748977118,2.992405100005175e-22,-0.8314410574670914,1.9594938905690041e-16
Access_Plus,Resilience,-0.814858851607526,2.33189463678421e-15,-0.7356304484044999,2.1584664347867597e-11
Access_Plus,Motivation,-0.7998540833241092,1.7876928273331436e-14,-0.7293831839791224,3.8581210065187647e-11
Access_Plus,GPA,-0.8086487552249627,5.5363269534849985e-15,-0.7252489580050342,5.617035958549547e-11
Bank_Barrier,Resilience,0.8169731773889483,1.7244227698470937e-15,0.810765430969598,4.137891089039173e-15
Bank_Barrier,Motivation,0.8692575582853074,2.1447693001350407e-19,0.8725269938222514,1.0786407974904757e-19
Bank_Barrier,GPA,0.8307209732296779,2.194012464356186e-16,0.8136969874033291,2.7480454402398115e-15
Resilience,Motivation,0.8242327397550206,5.935797481202265e-16,0.8402330231323941,4.714375089780489e-17
Resilience,GPA,0.7997741249323178,1.806363479905712e-14,0.7937276987773613,3.910685427907934e-14
Motivation,GPA,0.881506528149261,1.4752979793384963e-20,0.8667288047160006,3.6042344154591403e-19
