Comparison,Group1,Group2,Variable,Mean_G1,SD_G1,Mean_G2,SD_G2,n1,n2,Levene_p,Test,t,df,p,Cohens_d
Status_1_vs_2,Status=1 (n=52),Status=2 (n=8),Access_Plus,3.7884615384615383,1.6725762500457775,1.0,0.0,52,8,0.0465337586492779,Welch_t,12.022101899757464,51.0,1.682099380952911e-16,1.7779012761200403
Status_1_vs_2,Status=1 (n=52),Status=2 (n=8),Bank_Barrier,2.8076923076923075,1.2373035441361289,4.875,0.3535533905932738,52,8,0.0018373038594274634,Welch_t,-9.738267966494254,39.15221803927274,5.176058201154302e-12,-1.7718940956738578
Status_1_vs_2,Status=1 (n=52),Status=2 (n=8),Resilience,3.173076923076923,1.0043269885098032,4.625,0.5175491695067657,52,8,0.14281629695074827,Student_t,-3.9874434717418437,16.69128200277712,0.00018941741187278365,-1.5143403666951496
Status_1_vs_2,Status=1 (n=52),Status=2 (n=8),Motivation,2.7115384615384617,1.0162703527429369,4.875,0.3535533905932738,52,8,0.004210863530025207,Welch_t,-11.484622402331647,29.5525918734529,2.028623210864032e-12,-2.25159998087125
Status_1_vs_2,Status=1 (n=52),Status=2 (n=8),GPA,86.5576923076923,3.85732540447628,96.625,1.407885953173359,52,8,0.010224475855769142,Welch_t,-13.777889420854914,27.474296179830954,7.376597621602685e-14,-2.758171982590089
High_vs_Low_Access,Access>=4 (n=39),Access=1 (n=21),Access_Plus,4.717948717948718,0.455880752454893,1.0,0.0,39,21,0.0064903384371089445,Welch_t,50.931262565280136,38.0,1.3888883062275804e-36,10.075679332894333
High_vs_Low_Access,Access>=4 (n=39),Access=1 (n=21),Bank_Barrier,2.2051282051282053,0.6950761858843503,4.714285714285714,0.4629100498862758,39,21,0.09334915981750949,Student_t,-14.836281675781123,55.21050321166141,2.1093387928947855e-21,-4.0156767338765835
High_vs_Low_Access,Access>=4 (n=39),Access=1 (n=21),Resilience,2.717948717948718,0.6468025790365349,4.571428571428571,0.5070925528371099,39,21,0.6706651999561479,Student_t,-11.36952445579739,50.13858268660499,2.1564884300725736e-16,-3.07734349010886
High_vs_Low_Access,Access>=4 (n=39),Access=1 (n=21),Motivation,2.282051282051282,0.7591102114254679,4.333333333333333,0.5773502691896257,39,21,0.26997349663630904,Student_t,-10.799295142900897,51.210009844688976,1.6627346330091703e-15,-2.9230018137499605
High_vs_Low_Access,Access>=4 (n=39),Access=1 (n=21),GPA,84.87179487179488,2.735531192325091,93.52380952380952,2.9089353313376978,39,21,0.7220703025398834,Student_t,-11.430426847831983,38.93550215436559,1.7378847707542156e-16,-3.0938276957929554
